doc ID	label	text
1		I booked an appointment with dr.Lovell. We started the appointment and I couldn’t hear her so she said she would call me.  I HAVE NOT RECEIVED A CALL AND ITS BEEN AN HOUR SINCE THE APPOINTMENT.  Then she proceeded to send me an appointment summery when WE NEVER HAD AN APPOINTMENT.  I’ve been on the line waiting for customer service for about 20 minutes and no one is answering.  DO NOT recommend and I do NOT recommend dr. Lovell
2		I joined my appointment and waited almost an hour and no doctor showed up. I called the number on their site and after about 6 minutes someone picked up. They informed me the doctor that was supposed to see me had a power outage, but no one got in touch with me about this. Canceled my membership right away and won't be using again.
5		I saw that this had great reviews and figured that I would give it a go. Unfortunately I did not have a pleasent experience. I waited for over half an hour for my doctor to show up to the appointment and he never did. I called the phone number on the website as it told me to, and no one ever answered. I had to leave a voicemail. Overall I am very dissatisfied with this service and will not be using it again. Am going to be trying out a different site, ZocDoc, which doesn't need a membership to have an appointment. Hoping to have more luck there. I have no idea why this plushcare has so many great reviews.
6		Please be AWARE of recurring monthly charges! I take responsibility for not reading the fine print and only realizing after their second charge for 15 dollars in 2 months. My appointment was easy and I got a prescription I needed at the time. I didn’t even ask them to make it right and they did. I’ve come back to edit and give more stars because I really am impressed at this.
7		I replied to a message from my doctor about private medication information and it was intercepted and replied to by someone at Plush.  I replied thinking it was my doctor and the response I got was from yet another Plush representative telling me to set another appointment and pay another fee to speak with my doctor.  I feel like they are breaking HIPPA laws butting in to my conversation with my doctor.  Looking for a different service.
8		So far I’m not getting refills on my Rxs so I’ve had pay for another virtual doctor appointment. I’m going to contact my pharmacy for them to request Rx refills so I don’t need to pay for another doctor appointment. I use my HSA so it does use that money which I’d prefer to keep in my HSA for future use now that we know my Rx is working well for me.
10		I needed a prescription refill and don't have a regular doctor since i lost my job at the beginning of the Covid-19 pandemic.  I was very hesitant to actually go into an urgent care when I found PlushCare online.  Dr Wu was very helpful and asked the pertinent questions regarding my medication.  She also assisted me in getting follow-up bloodwork that I would be needing in the coming new year.  I was so pleased with how my virtual appointment went that I requested Dr Wu to be my primary care physician.
20		I was offered multiple different appointment times, even for the current day, by multiple doctors. I could see their picture and all the reviews for them. The doc I chose was not only extremely helpful, her bedside manner is very compassionate and genuine. She gave me as many options she could think of to solve my issue. I would recommend this to all my friends and family to use, whether you have insurance or not. Thank you for this tremendous service during a difficult time!
30		I had Covid-19 from February '20 to August '20.  Plushcare help in:1) Diagnosing the virus and directing me to medical assistance2) The medical assistance provided me with a new scientific formula and steroid that finally turned the virus around in 24 hours3) Has provided me with RX's that have fended off the residual effects of Covid-19, i.e., acute Bacterial Bronchitis and acute Viral Bronchitis 4) And has followed up on my care and results consistently.Thank you Plushcare for being there for me when the doctors office told me that should I come into their office with Covid-19 they would have me arrested for trespassing.  I can always count on you!
35		Extremely convenient and efficient. As someone who travels constantly and has a frequently changing schedule, it’s comforting to know I can book an appointment at my convenience when needed and interface with a doctor who will order labs, renew my prescriptions and contact me with my results. I found the physicians to be caring and thorough. As a former RN, I was very pleased with the care I received.
