element_id,rating,name,text,word_count,sd,ave_sentiment
1,1,Megan G,I booked an appointment with dr.Lovell. We started the appointment and I couldn’t hear her so she said she would call me.  I HAVE NOT RECEIVED A CALL AND ITS BEEN AN HOUR SINCE THE APPOINTMENT.  Then she proceeded to send me an appointment summery when WE NEVER HAD AN APPOINTMENT.  I’ve been on the line waiting for customer service for about 20 minutes and no one is answering.  DO NOT recommend and I do NOT recommend dr. Lovell,81,0.141675444641921,-0.149991504963842
2,1,Christie Kleder,"I joined my appointment and waited almost an hour and no doctor showed up. I called the number on their site and after about 6 minutes someone picked up. They informed me the doctor that was supposed to see me had a power outage, but no one got in touch with me about this. Canceled my membership right away and won't be using again.",63,0.125169235001031,0.135603351127944
3,1,Kelly Payne,Terrible customer service waiting 2 days for Dr to get back to me to change a prescription Incompetent and unprofessional,19,,-0.573539334676404
5,1,Megan,"I saw that this had great reviews and figured that I would give it a go. Unfortunately I did not have a pleasent experience. I waited for over half an hour for my doctor to show up to the appointment and he never did. I called the phone number on the website as it told me to, and no one ever answered. I had to leave a voicemail. Overall I am very dissatisfied with this service and will not be using it again. Am going to be trying out a different site, ZocDoc, which doesn't need a membership to have an appointment. Hoping to have more luck there. I have no idea why this plushcare has so many great reviews.",120,0.339032115568909,0.0363972196815469
6,4,Danielle Valliere,Please be AWARE of recurring monthly charges! I take responsibility for not reading the fine print and only realizing after their second charge for 15 dollars in 2 months. My appointment was easy and I got a prescription I needed at the time. I didn’t even ask them to make it right and they did. I’ve come back to edit and give more stars because I really am impressed at this.,71,0.165586632410069,0.190734645669893
7,2,Tarah Sanghani,I replied to a message from my doctor about private medication information and it was intercepted and replied to by someone at Plush.  I replied thinking it was my doctor and the response I got was from yet another Plush representative telling me to set another appointment and pay another fee to speak with my doctor.  I feel like they are breaking HIPPA laws butting in to my conversation with my doctor.  Looking for a different service.,77,0.149367364300243,-0.00578010251315914
8,3,Twiggy,So far I’m not getting refills on my Rxs so I’ve had pay for another virtual doctor appointment. I’m going to contact my pharmacy for them to request Rx refills so I don’t need to pay for another doctor appointment. I use my HSA so it does use that money which I’d prefer to keep in my HSA for future use now that we know my Rx is working well for me.,77,0.169881468262522,0.114504153905684
9,5,Larry,The entire interactions I have had have been great,9,,0.166666666666667
10,5,Satisfied Customer,I needed a prescription refill and don't have a regular doctor since i lost my job at the beginning of the Covid-19 pandemic.  I was very hesitant to actually go into an urgent care when I found PlushCare online.  Dr Wu was very helpful and asked the pertinent questions regarding my medication.  She also assisted me in getting follow-up bloodwork that I would be needing in the coming new year.  I was so pleased with how my virtual appointment went that I requested Dr Wu to be my primary care physician.,92,0.393153352333908,0.110523622904235
11,5,missm,"The doctor was caring, knowledgeable, and professional. The process of making an appointment was very simple, and I was able to be seen quickly.",24,0.202667153534885,0.385842943624626
12,5,Samantha Johnson,"Attentive, User Friendly, and exactly what I needed!",8,,0.530330085889911
13,3,customer,"My experience with the Dr was pleasant enough, but he was supposed to write me a prescription for 90 days, but did 30 days - seemingly by mistake.",25,,-0.1875
14,5,Ron,No less caring or competent than a GP office appointment and much more convenient.  Fair price.,16,0.0764080663227104,0.476301424055771
16,5,Byron,This was exactly how routine health care should be. I had an appointment in 10 minutes and a vurtual doctor appointment in 30. It was amazing. I will never go back to traditional health care.,33,0.152301141426001,0.197085724248379
17,5,James,It's awesome to have such help whenever I need it and the way I can ask a question and have a response in reasonable time without having to go to the Doc office       I really love the help with my blood pressure problems and updates on my medication!,48,,0.209289472581239
18,5,Jodie,This was the best way to see a doctor especially during the covid 19 virus. It was so easy to use.Thank you,22,0.282959182065749,0.218299061430722
19,1,Jay Cochran,"SCAM -  I have been signed up for their “membership” twice.  A total of $30, and i never approved either time.  The doctors cancel right before the appointment saying they can’t help with that and reschedule you with another doctor.  THIS IS A SCAM",43,0.147663675740457,-0.182566719113563
20,5,Kyky A,"I was offered multiple different appointment times, even for the current day, by multiple doctors. I could see their picture and all the reviews for them. The doc I chose was not only extremely helpful, her bedside manner is very compassionate and genuine. She gave me as many options she could think of to solve my issue. I would recommend this to all my friends and family to use, whether you have insurance or not. Thank you for this tremendous service during a difficult time!",85,0.224651204159706,0.14600485304073
21,5,John,"so helpful and easythanks for the great attention to detail, website, dr, and follow up",15,,0.387298334620742
22,5,Roger,Dr was promp an right To my problem. All was great. Very  happy with everything,15,0.330343047411078,0.327117601374826
24,5,Kristin,"Doc was fantastic, understood my concerns & really helped me resolve my issue. It was easy, and extremely reasonably priced. I would recommend Plush care to anyone who can't get to their regular doctor during this strange time in history or anyone interested in a primary care physician online as an option or in addition to in-person care.",58,0.394216463447642,0.653274237114755
25,5,Colleen Lee Ritz,I will use this service again!! Loved my Dr also!!,10,0.176776695296637,0.136421582460817
26,5,Tehra,"The doctors I have spoken with have been very professional, attentive to my words & taken good care of me. I will continue to use PlushCare during this pandemic for sure!",30,0.897078046870368,0.212214087786752
27,5,Amarie,Received better information on my condition than I did when I had insurance.,13,,0.499230176602706
28,5,"Matthew-Brownsburg,IN",Very helpful and easy to use. The doctor was right on time and gave me the attention I needed without all the waiting in an office.,26,0.585193213806402,0.872188025174313
29,5,Chloe,"I am SHOOK at how great Plushcare is. I feel like there is so much more transparency than I'm used to, and every doctor I'm met has been wonderful.",29,0.191321867422288,0.312061685140211
30,5,Howard Bradley,"I had Covid-19 from February '20 to August '20.  Plushcare help in:1) Diagnosing the virus and directing me to medical assistance2) The medical assistance provided me with a new scientific formula and steroid that finally turned the virus around in 24 hours3) Has provided me with RX's that have fended off the residual effects of Covid-19, i.e., acute Bacterial Bronchitis and acute Viral Bronchitis 4) And has followed up on my care and results consistently.Thank you Plushcare for being there for me when the doctors office told me that should I come into their office with Covid-19 they would have me arrested for trespassing.  I can always count on you!",108,0.570750442340078,0.211877309665638
